id,ans
0,0
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,1
468,0
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,1
